Customer ID,Gender,Region,Product Name,Category,Age,Unit Price,Quantity,Total Price,Shipping Fee,Order Date,Shipping Status,,,Descriptve analysis,,,,,,,,,,
CUST0299,Male,East,Keyboard,Accessories,58,50,2,100,9.57,8/30/2023,Returned,,,,,,,,,,,,,
CUST0064,Male,West,Monitor,Electronics,61,300,1,300,13.82,9/15/2023,Returned,,,,,,,,,,,,,
CUST0073,Male,East,Keyboard,Accessories,19,50,4,200,5.32,2/14/2023,Delivered,,,,,,,,,,,,,
CUST0154,Male,North,Keyboard,Accessories,31,50,3,150,7.46,2/27/2023,Delivered,,,,,,,,,,,,,
CUST0081,Male,North,Monitor,Electronics,38,300,1,300,17.22,8/13/2023,Returned,,,,,,,,,,,,,
CUST0247,Male,East,Headphones,Accessories,44,100,2,200,8.15,5/9/2023,In Transit,,,,,,,,,,,,,
CUST0130,Male,East,Monitor,Electronics,68,300,2,600,9.56,12/23/2023,Unknown,,,,,,,,,,,,,
CUST0178,Male,West,Smartwatch,Wearables,44,200,3,600,18.09,10/28/2023,In Transit,,,,,,,,,,,,,
CUST0131,Female,West,Laptop,Electronics,67,1500,4,6000,7.01,9/1/2023,Delivered,,,,,,,,,,,,,
CUST0070,Male,West,Monitor,Electronics,23,300,3,900,12.58,4/16/2023,Returned,,,,,,,,,,,,,
CUST0122,Male,West,Headphones,Accessories,68,100,2,200,13.49,12/13/2023,In Transit,,,,,,,,,,,,,
CUST0168,Female,East,Monitor,Electronics,42,300,4,1200,18.15,3/27/2023,In Transit,,,,,,,,,,,,,
CUST0176,Male,South,Laptop,Electronics,51,1500,2,3000,7.43,11/16/2023,Delivered,,,,,,,,,,,,,
CUST0064,Female,West,Laptop,Electronics,61,1500,2,3000,5.42,6/14/2023,Returned,,,,,,,,,,,,,
CUST0125,Female,South,Smartphone,Electronics,46,800,5,4000,10.62,1/26/2023,Returned,,,,,,,,,,,,,
CUST0165,Female,West,Keyboard,Accessories,49,50,4,200,19.72,12/25/2023,Unknown,,,,,,,,,,,,,
CUST0057,Male,North,Keyboard,Accessories,62,50,4,200,12.79,9/29/2023,Delivered,,,,,,,,,,,,,
CUST0207,Male,South,Laptop,Electronics,54,1500,1,1500,5.16,3/14/2023,Delivered,,,,,,,,,,,,,
CUST0167,Female,North,Headphones,Accessories,67,100,2,200,11.65,12/14/2023,Returned,,,,,,,,,,,,,
CUST0006,Male,South,Laptop,Electronics,52,1500,5,7500,19.69,9/17/2023,In Transit,,,,,,,,,,,,,
CUST0041,Male,East,Smartphone,Electronics,64,800,4,3200,17.27,8/8/2023,In Transit,,,,,,,,,,,,,
CUST0112,Male,North,Monitor,Electronics,33,300,4,1200,14.88,4/12/2023,Delivered,,,,,,,,,,,,,
CUST0244,Female,West,Headphones,Accessories,24,100,3,300,8.49,2/21/2023,In Transit,,,,,,,,,,,,,
CUST0218,Male,East,Headphones,Accessories,36,100,2,200,7.71,11/3/2023,Returned,,,,,,,,,,,,,
CUST0073,Male,North,Monitor,Electronics,19,300,5,1500,13.7,1/16/2023,In Transit,,,,,,,,,,,,,
CUST0083,Male,East,Monitor,Electronics,28,300,1,300,17.98,1/3/2024,Returned,,,,,,,,,,,,,
CUST0065,Female,East,Headphones,Accessories,49,100,2,200,13.06,2/5/2023,Returned,,,,,,,,,,,,,
CUST0096,Female,Unknown,Smartphone,Electronics,61,800,4,3200,11.79,2/7/2023,In Transit,,,,,,,,,,,,,
CUST0060,Male,South,Keyboard,Accessories,41,50,4,200,19.12,4/3/2023,Returned,,,,,,,,,,,,,
CUST0045,Male,East,Mouse,Accessories,21,30,1,30,6.17,10/23/2023,In Transit,,,,,,,,,,,,,
CUST0296,Female,North,Keyboard,Accessories,50,50,2,100,13.82,7/25/2023,In Transit,,,,,,,,,,,,,
CUST0261,Male,West,Laptop,Electronics,48,1500,5,7500,15.95,10/1/2023,Returned,,,,,,,,,,,,,
CUST0077,Male,South,Keyboard,Accessories,50,50,5,250,10.89,3/19/2023,Delivered,,,,,,,,,,,,,
CUST0227,Female,West,Keyboard,Accessories,54,50,4,200,9.22,10/5/2023,Returned,,,,,,,,,,,,,
CUST0284,Female,North,Keyboard,Accessories,64,50,3,150,17.76,4/11/2023,In Transit,,,,,,,,,,,,,
CUST0245,Male,North,Mouse,Accessories,63,30,1,30,13.28,9/11/2023,Returned,,,,,,,,,,,,,
CUST0133,Female,North,Smartphone,Electronics,47,800,1,800,11.29,10/28/2023,Returned,,,,,,,,,,,,,
CUST0179,Male,North,Keyboard,Accessories,45,50,2,100,19.04,3/16/2023,Delivered,,,,,,,,,,,,,
CUST0022,Female,North,Smartwatch,Wearables,33,200,2,400,10.07,11/21/2023,Delivered,,,,,,,,,,,,,
CUST0269,Female,East,Laptop,Electronics,64,1500,5,7500,6.53,12/3/2023,Returned,,,,,,,,,,,,,
CUST0181,Male,East,Smartwatch,Wearables,59,200,3,600,9.82,2/8/2023,In Transit,,,,,,,,,,,,,
CUST0170,Female,South,Mouse,Accessories,40,30,5,150,8.64,12/22/2023,Delivered,,,,,,,,,,,,,
CUST0182,Male,West,Monitor,Electronics,49,300,5,1500,7.77,10/24/2023,In Transit,,,,,,,,,,,,,
CUST0219,Male,Unknown,Mouse,Accessories,48,62.19121225,2,60,7.4,8/20/2023,Returned,,,,,,,,,,,,,
CUST0037,Male,West,Keyboard,Accessories,51,103.6520204,4,200,11.41,5/20/2023,Returned,,,,,,,,,,,,,
CUST0006,Female,West,Monitor,Electronics,52,300,3,900,5.66,2/18/2023,Delivered,,,,,,,,,,,,,
CUST0125,Female,West,Mouse,Accessories,46,30,4,120,5.71,1/3/2024,Delivered,,,,,,,,,,,,,
CUST0006,Male,North,Smartwatch,Wearables,52,200,1,200,13.68,8/2/2023,Delivered,,,,,,,,,,,,,
CUST0091,Female,South,Mouse,Accessories,30,30,1,30,18.29,4/19/2023,In Transit,,,,,,,,,,,,,
CUST0064,Male,North,Smartphone,Electronics,61,800,5,4000,6.31,6/29/2023,Delivered,,,,,,,,,,,,,
CUST0286,Female,North,Laptop,Electronics,63,1500,1,1500,13.15,3/8/2023,Delivered,,,,,,,,,,,,,
CUST0288,Male,West,Headphones,Accessories,55,100,2,200,16.23,7/4/2023,Returned,,,,,,,,,,,,,
CUST0019,Female,East,Keyboard,Accessories,69,50,1,50,14.53,4/23/2023,Returned,,,,,,,,,,,,,
CUST0236,Male,East,Keyboard,Accessories,18,50,2,100,11.25,3/24/2023,Returned,,,,,,,,,,,,,
CUST0159,Male,West,Keyboard,Accessories,18,50,5,250,11.11,9/11/2023,Returned,,,,,,,,,,,,,
CUST0251,Male,North,Mouse,Accessories,42,30,2,60,18.98,2/2/2023,In Transit,,,,,,,,,,,,,
CUST0159,Male,North,Headphones,Accessories,18,100,1,100,18.47,8/13/2023,Delivered,,,,,,,,,,,,,
CUST0064,Male,West,Monitor,Electronics,61,300,4,1200,18.5,5/23/2023,Returned,,,,,,,,,,,,,
CUST0099,Female,South,Laptop,Electronics,26,1500,4,6000,15.74,8/12/2023,Returned,,,,,,,,,,,,,
CUST0228,Male,North,Smartphone,Electronics,25,800,4,3200,18.2,1/24/2023,In Transit,,,,,,,,,,,,,
CUST0024,Female,East,Smartwatch,Wearables,57,200,2,400,17.94,12/8/2023,In Transit,,,,,,,,,,,,,
CUST0113,Male,South,Smartphone,Electronics,38,800,2,1600,16.51,9/14/2023,In Transit,,,,,,,,,,,,,
CUST0192,Female,North,Smartwatch,Wearables,58,200,4,800,9.97,11/12/2023,Delivered,,,,,,,,,,,,,
CUST0153,Female,East,Monitor,Electronics,40,300,1,300,6.85,6/21/2023,Returned,,,,,,,,,,,,,
CUST0057,Female,East,Keyboard,Accessories,62,50,5,250,14.04,1/3/2024,Unknown,,,,,,,,,,,,,
CUST0192,Male,Unknown,Keyboard,Accessories,58,50,3,150,6.37,1/3/2024,In Transit,,,,,,,,,,,,,
CUST0150,Female,North,Laptop,Electronics,63,1500,3,4500,18.66,5/6/2023,Returned,,,,,,,,,,,,,
CUST0203,Male,South,Mouse,Accessories,33,30,1,30,7.78,1/3/2023,In Transit,,,,,,,,,,,,,
CUST0163,Female,North,Headphones,Accessories,22,100,3,300,6.16,10/12/2023,Returned,,,,,,,,,,,,,
CUST0203,Female,East,Laptop,Electronics,33,1500,3,4500,6.92,6/26/2023,Returned,,,,,,,,,,,,,
CUST0223,Female,Unknown,Mouse,Accessories,20,62.19121225,2,60,15.12,5/26/2023,In Transit,,,,,,,,,,,,,
CUST0266,Male,North,Mouse,Accessories,49,30,5,150,16.86,11/8/2023,Returned,,,,,,,,,,,,,
CUST0227,Male,West,Smartphone,Electronics,54,800,3,2400,18.76,12/7/2023,In Transit,,,,,,,,,,,,,
CUST0289,Male,West,Laptop,Electronics,37,1500,5,7500,6.68,7/6/2023,Delivered,,,,,,,,,,,,,
CUST0046,Female,South,Laptop,Electronics,22,1500,3,4500,11.69,6/20/2023,Delivered,,,,,,,,,,,,,
CUST0173,Male,Unknown,Headphones,Accessories,65,100,1,100,19.28,2/11/2023,Returned,,,,,,,,,,,,,
CUST0008,Female,North,Headphones,Accessories,49,100,5,500,16.04,2/2/2023,Delivered,,,,,,,,,,,,,
CUST0015,Male,West,Headphones,Accessories,58,100,3,300,6.08,3/22/2023,Returned,,,,,,,,,,,,,
CUST0002,Male,East,Smartphone,Electronics,23,800,1,800,12.64,9/10/2023,Returned,,,,,,,,,,,,,
CUST0189,Female,South,Mouse,Accessories,38,30,1,30,10.92,2/22/2023,Delivered,,,,,,,,,,,,,
CUST0137,Male,North,Smartphone,Electronics,19,800,3,2400,16.82,5/20/2023,In Transit,,,,,,,,,,,,,
CUST0139,Male,South,Smartwatch,Wearables,49,200,2,400,9.18,6/26/2023,Delivered,,,,,,,,,,,,,
CUST0033,Female,South,Monitor,Electronics,49,300,2,600,15.3,4/12/2023,Delivered,,,,,,,,,,,,,
CUST0297,Male,North,Monitor,Electronics,61,300,2,600,13.84,10/10/2023,In Transit,,,,,,,,,,,,,
CUST0008,Female,North,Keyboard,Accessories,18,50,3,150,13.86,5/29/2023,Delivered,,,,,,,,,,,,,
CUST0267,Male,North,Laptop,Electronics,29,1500,3,4500,14.23,6/1/2023,Returned,,,,,,,,,,,,,
CUST0028,Male,Unknown,Smartwatch,Wearables,50,200,5,1000,6.09,8/22/2023,In Transit,,,,,,,,,,,,,
CUST0078,Female,North,Laptop,Electronics,38,1500,3,4500,19.98,5/10/2023,In Transit,,,,,,,,,,,,,
CUST0003,Male,North,Smartphone,Electronics,63,800,5,4000,11.1,11/6/2023,In Transit,,,,,,,,,,,,,
CUST0049,Female,North,Laptop,Electronics,59,1500,1,1500,12.63,2/6/2023,Returned,,,,,,,,,,,,,
CUST0212,Female,North,Laptop,Electronics,49,1500,5,7500,10.18,11/18/2023,In Transit,,,,,,,,,,,,,
CUST0146,Male,North,Smartphone,Electronics,47,800,1,800,10.16,1/13/2023,Unknown,,,,,,,,,,,,,
CUST0082,Female,Unknown,Smartwatch,Wearables,49,200,1,200,6.03,4/21/2023,Returned,,,,,,,,,,,,,
CUST0036,Female,North,Keyboard,Accessories,33,50,1,50,6.06,8/2/2023,Delivered,,,,,,,,,,,,,
CUST0155,Female,North,Laptop,Electronics,41,1500,2,3000,9.21,2/2/2023,Returned,,,,,,,,,,,,,
CUST0138,Male,North,Keyboard,Accessories,46,50,3,150,5.09,3/16/2023,Returned,,,,,,,,,,,,,
CUST0201,Female,North,Mouse,Accessories,49,30,2,60,8.39,11/3/2023,In Transit,,,,,,,,,,,,,
CUST0197,Female,West,Mouse,Accessories,54,30,2,60,8.59,6/4/2023,Delivered,,,,,,,,,,,,,
CUST0082,Male,West,Laptop,Electronics,30,1500,1,1500,9.98,12/4/2023,Delivered,,,,,,,,,,,,,
CUST0091,Male,East,Laptop,Electronics,30,1500,5,7500,7.58,9/26/2023,Delivered,,,,,,,,,,,,,
CUST0066,Male,West,Laptop,Electronics,37,1500,2,3000,5.69,1/18/2023,Returned,,,,,,,,,,,,,
CUST0026,Female,East,Monitor,Electronics,27,300,1,300,16.61,11/23/2023,In Transit,,,,,,,,,,,,,
CUST0078,Female,West,Smartwatch,Wearables,38,200,4,800,18.89,5/3/2023,Returned,,,,,,,,,,,,,
CUST0281,Male,West,Keyboard,Accessories,44,50,4,200,19.81,8/27/2023,In Transit,,,,,,,,,,,,,
CUST0299,Male,West,Headphones,Accessories,58,100,5,500,14.5,1/16/2023,Returned,,,,,,,,,,,,,
CUST0053,Female,East,Smartwatch,Wearables,25,200,5,1000,16.41,7/25/2023,In Transit,,,,,,,,,,,,,
CUST0239,Male,North,Smartwatch,Wearables,35,200,1,200,7.32,11/18/2023,Delivered,,,,,,,,,,,,,
CUST0069,Male,East,Headphones,Accessories,49,100,3,300,10.81,12/7/2023,Returned,,,,,,,,,,,,,
CUST0245,Male,West,Mouse,Accessories,63,30,3,90,13.95,5/15/2023,Returned,,,,,,,,,,,,,
CUST0258,Female,South,Monitor,Electronics,39,300,4,1200,9.55,5/16/2023,In Transit,,,,,,,,,,,,,
CUST0177,Male,South,Smartwatch,Wearables,29,200,3,600,13.87,3/18/2023,In Transit,,,,,,,,,,,,,
CUST0140,Male,East,Headphones,Accessories,49,100,2,200,10.96,3/8/2023,Delivered,,,,,,,,,,,,,
CUST0089,Female,North,Mouse,Accessories,27,30,3,90,6.45,9/19/2023,In Transit,,,,,,,,,,,,,
CUST0168,Female,West,Smartphone,Electronics,42,800,2,1600,13.79,9/25/2023,In Transit,,,,,,,,,,,,,
CUST0176,Male,East,Laptop,Electronics,51,1500,3,4500,16.42,10/28/2023,In Transit,,,,,,,,,,,,,
CUST0089,Female,South,Monitor,Electronics,27,300,3,900,7.99,2/21/2023,In Transit,,,,,,,,,,,,,
CUST0281,Female,West,Keyboard,Accessories,44,50,2,100,6.45,8/28/2023,Returned,,,,,,,,,,,,,
CUST0044,Male,East,Mouse,Accessories,30,30,5,150,16.62,10/28/2023,Returned,,,,,,,,,,,,,
CUST0137,Female,South,Monitor,Electronics,49,300,5,1500,6,11/8/2023,Delivered,,,,,,,,,,,,,
CUST0174,Female,East,Laptop,Electronics,68,1500,1,1500,16.34,5/7/2023,Delivered,,,,,,,,,,,,,
CUST0141,Female,East,Mouse,Accessories,58,30,1,30,12.22,10/3/2023,In Transit,,,,,,,,,,,,,
CUST0202,Male,South,Mouse,Accessories,56,30,3,90,5.07,1/5/2023,Delivered,,,,,,,,,,,,,
CUST0259,Male,West,Laptop,Electronics,59,1500,2,3000,7.5,8/22/2023,Delivered,,,,,,,,,,,,,
CUST0045,Female,East,Smartphone,Electronics,21,800,3,2400,15.78,11/7/2023,Delivered,,,,,,,,,,,,,
CUST0168,Female,West,Keyboard,Accessories,42,50,1,50,15.92,6/24/2023,Delivered,,,,,,,,,,,,,
CUST0027,Female,Unknown,Keyboard,Accessories,36,50,5,250,11.09,6/6/2023,Returned,,,,,,,,,,,,,
CUST0228,Male,South,Mouse,Accessories,25,30,4,120,18.6,6/29/2023,Returned,,,,,,,,,,,,,
CUST0199,Female,South,Smartphone,Electronics,41,800,4,3200,16.45,1/18/2023,In Transit,,,,,,,,,,,,,
CUST0065,Male,North,Headphones,Accessories,41,100,5,500,19.62,3/4/2023,Delivered,,,,,,,,,,,,,
CUST0146,Female,East,Laptop,Electronics,47,1500,3,4500,8.87,9/11/2023,Delivered,,,,,,,,,,,,,
CUST0093,Male,North,Monitor,Electronics,66,300,1,300,16.58,2/27/2023,Delivered,,,,,,,,,,,,,
CUST0168,Female,South,Monitor,Electronics,42,300,1,300,14.7,11/16/2023,Delivered,,,,,,,,,,,,,
CUST0216,Male,South,Smartphone,Electronics,53,800,2,1600,16.23,7/19/2023,In Transit,,,,,,,,,,,,,
CUST0062,Male,West,Headphones,Accessories,43,100,4,400,11.4,4/24/2023,Returned,,,,,,,,,,,,,
CUST0125,Male,West,Smartphone,Electronics,46,800,5,4000,19.08,5/1/2023,In Transit,,,,,,,,,,,,,
CUST0060,Male,Unknown,Keyboard,Accessories,41,50,1,50,5.56,6/26/2023,Delivered,,,,,,,,,,,,,
CUST0056,Female,South,Smartwatch,Wearables,23,200,2,400,5.73,1/3/2024,Returned,,,,,,,,,,,,,
CUST0247,Male,South,Smartphone,Electronics,44,800,1,800,7.11,1/19/2023,In Transit,,,,,,,,,,,,,
CUST0131,Female,East,Monitor,Electronics,67,300,1,300,15.92,5/3/2023,Unknown,,,,,,,,,,,,,
CUST0114,Female,West,Monitor,Electronics,60,300,3,900,18.61,7/21/2023,In Transit,,,,,,,,,,,,,
CUST0082,Female,Unknown,Smartphone,Electronics,49,800,4,3200,13.77,10/11/2023,Delivered,,,,,,,,,,,,,
CUST0184,Female,West,Mouse,Accessories,54,30,3,90,14.78,6/15/2023,Returned,,,,,,,,,,,,,
CUST0075,Female,South,Monitor,Electronics,56,300,2,600,13.6,8/16/2023,Delivered,,,,,,,,,,,,,
CUST0142,Male,East,Monitor,Electronics,32,300,1,300,15.5,4/14/2023,Delivered,,,,,,,,,,,,,
CUST0076,Male,East,Headphones,Accessories,26,100,5,500,16.96,10/24/2023,Delivered,,,,,,,,,,,,,
CUST0105,Male,East,Smartwatch,Wearables,27,200,5,1000,12,7/14/2023,In Transit,,,,,,,,,,,,,
CUST0004,Female,West,Keyboard,Accessories,65,50,3,150,19.62,12/6/2023,In Transit,,,,,,,,,,,,,
CUST0127,Male,North,Smartwatch,Wearables,62,200,2,400,11.66,8/31/2023,Delivered,,,,,,,,,,,,,
CUST0072,Male,South,Headphones,Accessories,21,100,1,100,11.24,9/2/2023,Delivered,,,,,,,,,,,,,
CUST0216,Male,North,Smartphone,Electronics,53,800,4,3200,6.27,4/6/2023,Returned,,,,,,,,,,,,,
CUST0156,Female,South,Smartphone,Electronics,57,800,4,3200,16.09,12/29/2023,In Transit,,,,,,,,,,,,,
CUST0052,Male,North,Mouse,Accessories,66,30,4,120,8.24,6/9/2023,Returned,,,,,,,,,,,,,
CUST0226,Female,West,Smartphone,Electronics,49,800,4,3200,17.91,6/14/2023,In Transit,,,,,,,,,,,,,
CUST0270,Female,West,Laptop,Electronics,64,1500,1,1500,18.88,7/14/2023,Returned,,,,,,,,,,,,,
CUST0269,Male,North,Monitor,Electronics,64,621.9121225,5,1500,6.93,4/23/2023,Delivered,,,,,,,,,,,,,
CUST0183,Female,West,Smartphone,Electronics,42,800,3,2400,7.22,10/21/2023,Delivered,,,,,,,,,,,,,
CUST0205,Male,South,Keyboard,Accessories,43,50,2,100,5.05,10/9/2023,Delivered,,,,,,,,,,,,,
CUST0080,Female,East,Headphones,Accessories,51,100,1,100,19.84,5/27/2023,Delivered,,,,,,,,,,,,,
CUST0208,Female,West,Laptop,Electronics,57,1500,1,1500,16.28,2/1/2023,Returned,,,,,,,,,,,,,
CUST0186,Female,West,Mouse,Accessories,55,30,5,150,17.36,5/7/2023,In Transit,,,,,,,,,,,,,
CUST0109,Female,Unknown,Mouse,Accessories,57,30,1,30,9.59,3/12/2023,In Transit,,,,,,,,,,,,,
CUST0028,Female,East,Headphones,Accessories,50,100,5,500,16.11,11/7/2023,In Transit,,,,,,,,,,,,,
CUST0083,Male,West,Keyboard,Accessories,28,50,2,100,9.48,9/14/2023,Returned,,,,,,,,,,,,,
CUST0027,Female,South,Monitor,Electronics,36,300,2,600,18.44,3/19/2023,Returned,,,,,,,,,,,,,
CUST0203,Female,South,Keyboard,Accessories,33,50,5,250,8.43,10/5/2023,In Transit,,,,,,,,,,,,,
CUST0095,Female,East,Laptop,Electronics,49,1500,5,7500,7.38,6/18/2023,Returned,,,,,,,,,,,,,
CUST0204,Male,North,Smartphone,Electronics,54,800,2,1600,6.45,3/16/2023,Delivered,,,,,,,,,,,,,
CUST0165,Male,West,Keyboard,Accessories,49,50,1,50,8.97,5/23/2023,Returned,,,,,,,,,,,,,
CUST0269,Male,North,Headphones,Accessories,64,100,3,300,11.64,11/24/2023,Returned,,,,,,,,,,,,,
CUST0134,Male,North,Monitor,Electronics,49,621.9121225,5,1500,7.22,8/5/2023,Returned,,,,,,,,,,,,,
CUST0116,Female,East,Headphones,Accessories,49,100,2,200,15.13,1/23/2023,Delivered,,,,,,,,,,,,,
CUST0137,Female,West,Smartphone,Electronics,19,800,3,2400,11.21,8/1/2023,Returned,,,,,,,,,,,,,
CUST0100,Male,West,Keyboard,Accessories,29,50,2,100,5.18,4/14/2023,Returned,,,,,,,,,,,,,
CUST0282,Male,North,Smartwatch,Wearables,68,200,3,600,7.93,6/22/2023,In Transit,,,,,,,,,,,,,
CUST0094,Male,North,Laptop,Electronics,30,1500,1,1500,14.53,4/18/2023,In Transit,,,,,,,,,,,,,
CUST0194,Female,West,Mouse,Accessories,61,62.19121225,1,30,10.41,1/28/2023,Returned,,,,,,,,,,,,,
CUST0174,Female,North,Smartphone,Electronics,49,800,4,3200,9.45,5/8/2023,Returned,,,,,,,,,,,,,
CUST0273,Female,South,Laptop,Electronics,49,1500,2,3000,9.01,6/7/2023,In Transit,,,,,,,,,,,,,
CUST0188,Male,North,Smartphone,Electronics,29,800,5,4000,6.06,2/24/2023,Delivered,,,,,,,,,,,,,
CUST0109,Male,West,Keyboard,Accessories,57,50,3,150,11.12,2/16/2023,In Transit,,,,,,,,,,,,,
